"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"403","ROU","Romania","B09","Mining support service activities",2010,2204,"A","Normal value","RON","Romanian leu"
"404","ROU","Romania","B09","Mining support service activities",2016,834.4,"A","Normal value","RON","Romanian leu"
"405","ROU","Romania","B09","Mining support service activities",2022,1102.9,"P","Provisional value","RON","Romanian leu"
"406","BRA","Brazil","B06","Extraction of crude petroleum and natural gas",2003,24371.128,"A","Normal value","BRL","Brazilian real"
"407","BRA","Brazil","B06","Extraction of crude petroleum and natural gas",2009,40905.428,"A","Normal value","BRL","Brazilian real"
"408","BRA","Brazil","B06","Extraction of crude petroleum and natural gas",2015,73558,"A","Normal value","BRL","Brazilian real"
"409","NLD","Netherlands","B","Mining and quarrying",1999,6460,"A","Normal value","EUR","Euro"
"410","NLD","Netherlands","B","Mining and quarrying",2005,12883,"A","Normal value","EUR","Euro"
"411","NLD","Netherlands","B","Mining and quarrying",2011,18888,"A","Normal value","EUR","Euro"
"412","NLD","Netherlands","B","Mining and quarrying",2017,7422,"A","Normal value","EUR","Euro"
