"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2010","2010","MXN","Mexican Peso","0","Units",,,12.3571,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2011","2011","MXN","Mexican Peso","0","Units",,,13.9904,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2012","2012","MXN","Mexican Peso","0","Units",,,13.0101,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2013","2013","MXN","Mexican Peso","0","Units",,,13.0765,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2014","2014","MXN","Mexican Peso","0","Units",,,14.718,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2015","2015","MXN","Mexican Peso","0","Units",,,17.2065,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2016","2016","MXN","Mexican Peso","0","Units",,,20.7314,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2017","2017","MXN","Mexican Peso","0","Units",,,19.7867,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2018","2018","MXN","Mexican Peso","0","Units",,,19.6829,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2019","2019","MXN","Mexican Peso","0","Units",,,18.8452,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2020","2020","MXN","Mexican Peso","0","Units",,,19.9487,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2021","2021","MXN","Mexican Peso","0","Units",,,20.5835,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2022","2022","MXN","Mexican Peso","0","Units",,,19.4143,,
"MEX","Mexico","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2023","2023","MXN","Mexican Peso","0","Units",,,16.922,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,1.573027,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,1.60881,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2002","2002","EUR","Euro","0","Units",,,1.328952,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2003","2003","EUR","Euro","0","Units",,,1.092744,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2004","2004","EUR","Euro","0","Units",,,0.945894,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,1.060479,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.871208,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.759145,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.709852,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.694155,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2010","2010","EUR","Euro","0","Units",,,0.748391,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2011","2011","EUR","Euro","0","Units",,,0.772857,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2012","2012","EUR","Euro","0","Units",,,0.75792,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2013","2013","EUR","Euro","0","Units",,,0.725111,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2014","2014","EUR","Euro","0","Units",,,0.823655,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2015","2015","EUR","Euro","0","Units",,,0.918527,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2016","2016","EUR","Euro","0","Units",,,0.948677,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2017","2017","EUR","Euro","0","Units",,,0.83382,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2018","2018","EUR","Euro","0","Units",,,0.873362,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2019","2019","EUR","Euro","0","Units",,,0.890155,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2020","2020","EUR","Euro","0","Units",,,0.81493,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2021","2021","EUR","Euro","0","Units",,,0.882924,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2022","2022","EUR","Euro","0","Units",,,0.937559,,
"SVK","Slovak Republic","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2023","2023","EUR","Euro","0","Units",,,0.904977,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2000","2000","CHF","Swiss Franc","0","Units",,,1.888147,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2001","2001","CHF","Swiss Franc","0","Units",,,1.860089,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2002","2002","CHF","Swiss Franc","0","Units",,,1.810614,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2003","2003","CHF","Swiss Franc","0","Units",,,1.812371,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2004","2004","CHF","Swiss Franc","0","Units",,,1.784235,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2005","2005","CHF","Swiss Franc","0","Units",,,1.777742,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2006","2006","CHF","Swiss Franc","0","Units",,,1.728695,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2007","2007","CHF","Swiss Franc","0","Units",,,1.661044,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2008","2008","CHF","Swiss Franc","0","Units",,,1.614472,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2009","2009","CHF","Swiss Franc","0","Units",,,1.584245,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2010","2010","CHF","Swiss Franc","0","Units",,,1.582282,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2011","2011","CHF","Swiss Franc","0","Units",,,1.537326,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2012","2012","CHF","Swiss Franc","0","Units",,,1.506301,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2013","2013","CHF","Swiss Franc","0","Units",,,1.453364,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2014","2014","CHF","Swiss Franc","0","Units",,,1.432765,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2015","2015","CHF","Swiss Franc","0","Units",,,1.41316,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2016","2016","CHF","Swiss Franc","0","Units",,,1.381825,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2017","2017","CHF","Swiss Franc","0","Units",,,1.373864,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2018","2018","CHF","Swiss Franc","0","Units",,,1.354687,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2019","2019","CHF","Swiss Franc","0","Units",,,1.306266,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2020","2020","CHF","Swiss Franc","0","Units",,,1.288534,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2021","2021","CHF","Swiss Franc","0","Units",,,1.236572,,
"CHE","Switzerland","PPPPRC","Purchasing Power Parities for private consumption","CD","National currency per US dollar","2022","2022","CHF","Swiss Franc","0","Units",,,1.169176,,
"LUX","Luxembourg","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,1.074691,,
"LUX","Luxembourg","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,1.134687,,
"LUX","Luxembourg","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2002","2002","EUR","Euro","0","Units",,,0.953562,,
"LUX","Luxembourg","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2003","2003","EUR","Euro","0","Units",,,0.791766,,
"LUX","Luxembourg","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2004","2004","EUR","Euro","0","Units",,,0.73416,,
"LUX","Luxembourg","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,0.847673,,
"LUX","Luxembourg","EXCE","Exchange rates, end of period","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.759301,,
