"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"154","DNK","Denmark","A","Agriculture, forestry and fishing",1968,5474,"A","Normal value","DKK","Danish krone"
"155","DNK","Denmark","A","Agriculture, forestry and fishing",1970,5897,"A","Normal value","DKK","Danish krone"
"156","DNK","Denmark","A","Agriculture, forestry and fishing",1972,7727,"A","Normal value","DKK","Danish krone"
"157","DNK","Denmark","A","Agriculture, forestry and fishing",1974,10736,"A","Normal value","DKK","Danish krone"
"158","DNK","Denmark","A","Agriculture, forestry and fishing",1976,11579,"A","Normal value","DKK","Danish krone"
"159","DNK","Denmark","A","Agriculture, forestry and fishing",1978,15675,"A","Normal value","DKK","Danish krone"
"160","DNK","Denmark","A","Agriculture, forestry and fishing",1980,16333,"A","Normal value","DKK","Danish krone"
"161","DNK","Denmark","A","Agriculture, forestry and fishing",1982,23420,"A","Normal value","DKK","Danish krone"
"162","DNK","Denmark","A","Agriculture, forestry and fishing",1984,28485,"A","Normal value","DKK","Danish krone"
"163","DNK","Denmark","A","Agriculture, forestry and fishing",1986,27631,"A","Normal value","DKK","Danish krone"
"164","DNK","Denmark","A","Agriculture, forestry and fishing",1988,24595,"A","Normal value","DKK","Danish krone"
"165","DNK","Denmark","A","Agriculture, forestry and fishing",1990,28125,"A","Normal value","DKK","Danish krone"
"166","DNK","Denmark","A","Agriculture, forestry and fishing",1992,25769,"A","Normal value","DKK","Danish krone"
"167","DNK","Denmark","A","Agriculture, forestry and fishing",1994,25835,"A","Normal value","DKK","Danish krone"
"168","DNK","Denmark","A","Agriculture, forestry and fishing",1996,30385,"A","Normal value","DKK","Danish krone"
"169","DNK","Denmark","A","Agriculture, forestry and fishing",1998,25435,"A","Normal value","DKK","Danish krone"
"170","DNK","Denmark","A","Agriculture, forestry and fishing",2000,28553,"A","Normal value","DKK","Danish krone"
"171","DNK","Denmark","A","Agriculture, forestry and fishing",2002,25119,"A","Normal value","DKK","Danish krone"
"172","DNK","Denmark","A","Agriculture, forestry and fishing",2004,24435,"A","Normal value","DKK","Danish krone"
"173","DNK","Denmark","A","Agriculture, forestry and fishing",2006,19602,"A","Normal value","DKK","Danish krone"
"174","DNK","Denmark","A","Agriculture, forestry and fishing",2008,15453,"A","Normal value","DKK","Danish krone"
"175","DNK","Denmark","A","Agriculture, forestry and fishing",2010,21766,"A","Normal value","DKK","Danish krone"
"176","DNK","Denmark","A","Agriculture, forestry and fishing",2012,31357,"A","Normal value","DKK","Danish krone"
"177","DNK","Denmark","A","Agriculture, forestry and fishing",2014,27389,"A","Normal value","DKK","Danish krone"
"178","DNK","Denmark","A","Agriculture, forestry and fishing",2016,20259,"A","Normal value","DKK","Danish krone"
"179","DNK","Denmark","A","Agriculture, forestry and fishing",2018,23132,"A","Normal value","DKK","Danish krone"
"180","DNK","Denmark","A","Agriculture, forestry and fishing",2020,32073,"A","Normal value","DKK","Danish krone"
"181","DNK","Denmark","A","Agriculture, forestry and fishing",2022,33212,"A","Normal value","DKK","Danish krone"
"182","GBR","United Kingdom","A03","Fishing and aquaculture",1995,356,"A","Normal value","GBP","Pound sterling"
"183","GBR","United Kingdom","A03","Fishing and aquaculture",1997,357,"A","Normal value","GBP","Pound sterling"
"184","GBR","United Kingdom","A03","Fishing and aquaculture",1999,391,"A","Normal value","GBP","Pound sterling"
"185","GBR","United Kingdom","A03","Fishing and aquaculture",2001,448,"A","Normal value","GBP","Pound sterling"
"186","GBR","United Kingdom","A03","Fishing and aquaculture",2003,373,"A","Normal value","GBP","Pound sterling"
"187","GBR","United Kingdom","A03","Fishing and aquaculture",2005,507,"A","Normal value","GBP","Pound sterling"
"188","GBR","United Kingdom","A03","Fishing and aquaculture",2007,446,"A","Normal value","GBP","Pound sterling"
"189","GBR","United Kingdom","A03","Fishing and aquaculture",2009,528,"A","Normal value","GBP","Pound sterling"
"190","GBR","United Kingdom","A03","Fishing and aquaculture",2011,707,"A","Normal value","GBP","Pound sterling"
"191","GBR","United Kingdom","A03","Fishing and aquaculture",2013,675,"A","Normal value","GBP","Pound sterling"
"192","GBR","United Kingdom","A03","Fishing and aquaculture",2015,638,"A","Normal value","GBP","Pound sterling"
