"","REF_AREA","Reference.area","ACTIVITY","Economic.activity","TIME_PERIOD","OBS_VALUE","OBS_STATUS","Observation.status","CURRENCY","Currency"
"148","AUS","Australia","H","Transportation and storage",2017,85575,"A","Normal value","AUD","Australian dollar"
"149","AUS","Australia","H","Transportation and storage",2019,88829,"A","Normal value","AUD","Australian dollar"
"150","AUS","Australia","H","Transportation and storage",2021,95272,"A","Normal value","AUD","Australian dollar"
"151","POL","Poland","H50","Water transport",1995,494,"E","Estimated value","PLN","Zloty"
"152","POL","Poland","H50","Water transport",1997,307,"E","Estimated value","PLN","Zloty"
"153","POL","Poland","H50","Water transport",1999,281,"E","Estimated value","PLN","Zloty"
"154","POL","Poland","H50","Water transport",2001,259,"A","Normal value","PLN","Zloty"
"155","POL","Poland","H50","Water transport",2003,330,"A","Normal value","PLN","Zloty"
"156","POL","Poland","H50","Water transport",2005,522,"A","Normal value","PLN","Zloty"
"157","POL","Poland","H50","Water transport",2007,531,"A","Normal value","PLN","Zloty"
"158","POL","Poland","H50","Water transport",2009,1043,"A","Normal value","PLN","Zloty"
"159","POL","Poland","H50","Water transport",2011,1796,"A","Normal value","PLN","Zloty"
"160","POL","Poland","H50","Water transport",2013,1245,"A","Normal value","PLN","Zloty"
"161","POL","Poland","H50","Water transport",2015,1470,"A","Normal value","PLN","Zloty"
"162","POL","Poland","H50","Water transport",2017,991,"A","Normal value","PLN","Zloty"
"163","POL","Poland","H50","Water transport",2019,997,"A","Normal value","PLN","Zloty"
"164","POL","Poland","H50","Water transport",2021,932,"A","Normal value","PLN","Zloty"
"165","TUR","Türkiye","H","Transportation and storage",1999,9135.127,"A","Normal value","TRY","Turkish lira"
"166","TUR","Türkiye","H","Transportation and storage",2001,24354.502,"A","Normal value","TRY","Turkish lira"
"167","TUR","Türkiye","H","Transportation and storage",2003,48617.977,"A","Normal value","TRY","Turkish lira"
"168","TUR","Türkiye","H","Transportation and storage",2005,67187.208,"A","Normal value","TRY","Turkish lira"
"169","TUR","Türkiye","H","Transportation and storage",2007,87075.7,"A","Normal value","TRY","Turkish lira"
"170","TUR","Türkiye","H","Transportation and storage",2009,91258.471,"A","Normal value","TRY","Turkish lira"
"171","TUR","Türkiye","H","Transportation and storage",2011,108028.465,"A","Normal value","TRY","Turkish lira"
"172","TUR","Türkiye","H","Transportation and storage",2013,149900.57,"A","Normal value","TRY","Turkish lira"
"173","TUR","Türkiye","H","Transportation and storage",2015,191669.299,"A","Normal value","TRY","Turkish lira"
"174","TUR","Türkiye","H","Transportation and storage",2017,253735.702,"A","Normal value","TRY","Turkish lira"
"175","TUR","Türkiye","H","Transportation and storage",2019,367808.056,"A","Normal value","TRY","Turkish lira"
"176","TUR","Türkiye","H","Transportation and storage",2021,637861.33,"A","Normal value","TRY","Turkish lira"
"177","BEL","Belgium","H50","Water transport",1995,243.8,"A","Normal value","EUR","Euro"
"178","BEL","Belgium","H50","Water transport",1997,135.8,"A","Normal value","EUR","Euro"
"179","BEL","Belgium","H50","Water transport",1999,153.3,"A","Normal value","EUR","Euro"
"180","BEL","Belgium","H50","Water transport",2001,125.5,"A","Normal value","EUR","Euro"
"181","BEL","Belgium","H50","Water transport",2003,98.5,"A","Normal value","EUR","Euro"
"182","BEL","Belgium","H50","Water transport",2005,789.3,"A","Normal value","EUR","Euro"
"183","BEL","Belgium","H50","Water transport",2007,701,"A","Normal value","EUR","Euro"
"184","BEL","Belgium","H50","Water transport",2009,379.2,"A","Normal value","EUR","Euro"
"185","BEL","Belgium","H50","Water transport",2011,386.9,"A","Normal value","EUR","Euro"
"186","BEL","Belgium","H50","Water transport",2013,395.7,"A","Normal value","EUR","Euro"
"187","BEL","Belgium","H50","Water transport",2015,705.2,"A","Normal value","EUR","Euro"
"188","BEL","Belgium","H50","Water transport",2017,699.3,"A","Normal value","EUR","Euro"
"189","BEL","Belgium","H50","Water transport",2019,1191.4,"A","Normal value","EUR","Euro"
"190","BEL","Belgium","H50","Water transport",2021,631.7,"A","Normal value","EUR","Euro"
"191","PRT","Portugal","H","Transportation and storage",1996,3235.471,"A","Normal value","EUR","Euro"
"192","PRT","Portugal","H","Transportation and storage",1998,3908.273,"A","Normal value","EUR","Euro"
"193","PRT","Portugal","H","Transportation and storage",2000,4647.494,"A","Normal value","EUR","Euro"
"194","PRT","Portugal","H","Transportation and storage",2002,5062.927,"A","Normal value","EUR","Euro"
"195","PRT","Portugal","H","Transportation and storage",2004,5436.188,"A","Normal value","EUR","Euro"
"196","PRT","Portugal","H","Transportation and storage",2006,6025.954,"A","Normal value","EUR","Euro"
"197","PRT","Portugal","H","Transportation and storage",2008,6808.865,"A","Normal value","EUR","Euro"
"198","PRT","Portugal","H","Transportation and storage",2010,7411.599,"A","Normal value","EUR","Euro"
"199","PRT","Portugal","H","Transportation and storage",2012,6921.159,"A","Normal value","EUR","Euro"
"200","PRT","Portugal","H","Transportation and storage",2014,7128.909,"A","Normal value","EUR","Euro"
"201","PRT","Portugal","H","Transportation and storage",2016,7806.471,"A","Normal value","EUR","Euro"
"202","PRT","Portugal","H","Transportation and storage",2018,8799.814,"A","Normal value","EUR","Euro"
"203","PRT","Portugal","H","Transportation and storage",2020,6936.07,"A","Normal value","EUR","Euro"
"204","PRT","Portugal","H","Transportation and storage",2022,9935.16,"P","Provisional value","EUR","Euro"
"205","BRA","Brazil","H50","Water transport",2011,4030,"A","Normal value","BRL","Brazilian real"
"206","BRA","Brazil","H50","Water transport",2013,6023,"A","Normal value","BRL","Brazilian real"
"207","BRA","Brazil","H50","Water transport",2015,8758,"A","Normal value","BRL","Brazilian real"
"208","NOR","Norway","H50","Water transport",1970,7179,"A","Normal value","NOK","Norwegian krone"
"209","NOR","Norway","H50","Water transport",1972,7632,"A","Normal value","NOK","Norwegian krone"
"210","NOR","Norway","H50","Water transport",1974,10483,"A","Normal value","NOK","Norwegian krone"
"211","NOR","Norway","H50","Water transport",1976,8132,"A","Normal value","NOK","Norwegian krone"
"212","NOR","Norway","H50","Water transport",1978,8614,"A","Normal value","NOK","Norwegian krone"
"213","NOR","Norway","H50","Water transport",1980,11543,"A","Normal value","NOK","Norwegian krone"
"214","NOR","Norway","H50","Water transport",1982,10425,"A","Normal value","NOK","Norwegian krone"
