"Country","Industry","Industry_simple","Code_num","Code_type","Code_length","Aggregate_level","GVA_abbrev","Units","GVA_total","Currency_ISO","Metric","Metric_type","Year","Base_year","GDP_annual","GDP_perc_norm","Source1","Source1_info","Confidence1","Notes","Source2"
"Canada","Mining, quarrying, and oil and gas extraction","Mining","21","NAICS","2","1","108512","1000000","1.08512e+11","CAD","GDP","Constant","2019","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining, quarrying, and oil and gas extraction","Mining","21","NAICS","2","1","99944","1000000","9.9944e+10","CAD","GDP","Constant","2020","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining, quarrying, and oil and gas extraction","Mining","21","NAICS","2","1","106757","1000000","1.06757e+11","CAD","GDP","Constant","2021","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining, quarrying, and oil and gas extraction","Mining","21","NAICS","2","1","111997","1000000","1.11997e+11","CAD","GDP","Constant","2022","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining and quarrying (except oil and gas)","Mining","212","NAICS","3","2","27001","1000000","2.7001e+10","CAD","GDP","Constant","2019","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining and quarrying (except oil and gas)","Mining","212","NAICS","3","2","25514","1000000","2.5514e+10","CAD","GDP","Constant","2020","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining and quarrying (except oil and gas)","Mining","212","NAICS","3","2","26627","1000000","2.6627e+10","CAD","GDP","Constant","2021","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Mining and quarrying (except oil and gas)","Mining","212","NAICS","3","2","26493","1000000","2.6493e+10","CAD","GDP","Constant","2022","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Copper, nickel, lead and zinc ore mining","Mining","21223","NAICS","5","4","5764","1000000","5.764e+09","CAD","GDP","Constant","2019","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
"Canada","Copper, nickel, lead and zinc ore mining","Mining","21223","NAICS","5","4","5702","1000000","5.702e+09","CAD","GDP","Constant","2020","2017",NA,NA,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610043406&pickMembers%5B0%5D=2.1&pickMembers%5B1%5D=3.1&cubeTimeFrame.startYear=2018&cubeTimeFrame.endYear=2022&referencePeriods=20180101%2C20220101","Gross domestic product (GDP) at basic prices, by industry, annual average, industry detail (x 1,000,000)1, 2 > Chained (2017) prices","High","Chained 2017 dollars vs. Constant 2017 prices?",NA
